2021-04-27,19:17:05,4-27,file,1
2021-04-27,14:00:06,4-27,161,41
2021-04-26,17:58:38,4-26,254,8
2021-04-25,19:27:31,4-25,318,559
2021-04-23,17:53:16,4-23,372,314
2021-04-22,20:35:40,4-22,182,2020
2021-04-21,20:03:50,4-21,7583,749
2021-04-20,20:25:39,4-20,1058,766
2021-04-19,17:31:14,4-19,543,331
2021-04-16,17:29:00,4-16,484,40
2021-04-15,19:19:16,4-15,524,336
2021-04-14,17:18:42,4-14,224,123
2021-04-13,19:22:53,4-13,1029,229
2021-04-12,18:06:44,4-12,642,12
2021-04-09,17:36:02,4.09,53,35
2021-04-08,19:30:22,4-8,342,61
2021-04-07,17:41:12,4-70,58,27
2021-04-07,15:39:34,4-7,416,142
2021-04-06,17:59:11,4-6,582,77
2021-04-01,17:36:01,4-1,80,37
2021-03-31,18:07:12,3-31,106,96
2021-02-26,17:43:00,basic26,572,138
2021-02-25,17:25:52,basic25,46,18
2021-02-25,13:48:26,basic23,329,144
2021-02-24,17:33:37,basic22,529,115
2021-02-23,18:05:51,basic21,797,139
2021-02-22,17:50:23,basic20,553,366
2021-02-20,18:04:22,basic13,276,442
2021-02-19,17:51:00,basic12,173,2258
2021-02-09,17:20:47,basic10,174,114
2021-02-09,08:48:32,1010,922,626
2021-02-07,18:08:00,gray1.0,19019,12854
